ID	TRAIT	CHR	POS	P_WGS	BETA_WGS	AC_WGS	AF_WGS	N_WGS	P_WES_FE	BETA_WES_FE	TOP_EXON	N_IMP	GENOCNT_IMP	MAF_IMP	P_IMP	BETA_IMP	TYPE	DR2_IMP	AF_IMP_CALLSET	maxR2	EXON_R2_BATCH1	EXON_R2_BATCH2	exon_r2_ave	imp_r2_higher	combined_p
CNV_chr1_110610954_110613656	height_combined	1	110610954	0.0007285	0.8431	15	0.00372300819062	4029	NA	NA	NA	13906	13834/72/0	0.00257	0.5451	-0.08183	<DEL>	0.71	0.0025	0.833	NA	NA	NA	TRUE	0.00350696003045224
CNV_chr3_47863881_47866170	height_combined	3	47863881	0.0002954	1.11	10	0.00248200546041	4029	NA	NA	NA	13906	13866/40/0	0.00114	0.2862	-0.2952	<DEL>	0.4	0.0012	0.889	NA	NA	NA	TRUE	0.00087741291475211
CNV_chr4_188502211_188507915	height_combined	4	188502211	0.0004158	-0.08192	2188	0.543062794738	4029	NA	NA	NA	13906	1639/6288/5979	0.34409	0.1802	0.01635	<DUP>	0.99	0.6545	0.984	NA	NA	NA	TRUE	0.000786659811994686
CNV_chr5_97300873_97304413	height_combined	5	97300873	0.0003853	0.8335	17	0.0042194092827	4029	NA	NA	NA	13906	13838/68/0	0.00233	0.1989	-0.1823	<DUP>	0.69	0.0023	0.444	NA	NA	NA	TRUE	0.000802874344083623
CNV_chr9_133069042_133071136	height_combined	9	133069042	0.0008867	0.2229	214	0.0531149168528	4029	NA	NA	NA	13906	13206/689/11	0.03033	0.09168	-0.06702	<DUP>	0.75	0.0307	0.735	NA	NA	NA	TRUE	0.000846862575759774
CNV_chr10_71903105_71906904	height_combined	10	71903105	0.0001589	0.5219	51	0.0126582278481	4029	NA	NA	NA	13906	13707/199/0	0.00673	0.002754	-0.2249	<DEL>	0.91	0.0066	0.933	NA	NA	NA	TRUE	6.84507715701683e-06
CNV_chr12_18159273_18164487	height_combined	12	18159273	6.804e-05	1.027	15	0.00372300819062	4029	NA	NA	NA	13906	13849/57/0	0.00204	0.2299	-0.1651	<DEL>	0.85	0.0021	1	NA	NA	NA	TRUE	0.000188733729972268
CNV_chr15_74064200_74066749	height_combined	15	74064200	0.000257	-0.3104	141	0.0349962769918	4029	NA	NA	NA	13906	13447/459/0	0.01657	0.164	0.07241	<DEL>	0.98	0.0166	0.942	NA	NA	NA	TRUE	0.000466760579469519
CNV_chr1_13387596_13389612	bmi_combined	1	13387596	0.000981	-0.3683	83	0.0206006453214	4029	NA	NA	NA	13904	13710/194/0	0.01089	0.8332	-0.01812	<DUP>	0.48	0.0108	0.398	NA	NA	NA	TRUE	0.00662838986649272
CNV_chr7_100729958_100740000	bmi_combined	7	100729958	0.0007601	0.08724	1841	0.456937205262	4029	NA	NA	NA	13904	7562/5374/968	0.26272	0.7242	-0.005703	<DEL>	1	0.2631	0.998	NA	NA	NA	TRUE	0.00468156130499937
CNV_chr7_100730083_100733635	bmi_combined	7	100730083	0.0007601	0.08724	1841	0.456937205262	4029	NA	NA	NA	13904	7562/5374/968	0.26272	0.7242	-0.005702	<DEL>	1	0.2631	0.998	NA	NA	NA	TRUE	0.00468156130499937
CNV_chr8_12630857_12650696	bmi_combined	8	12630857	0.0009141	-0.4268	62	0.0153884338546	4029	NA	NA	NA	13904	13844/60/0	0.00502	0.0404	0.3134	<DEL>	0.31	0.005	0.437	NA	NA	NA	TRUE	0.000413851865796823
CNV_chr8_12640486_12645165	bmi_combined	8	12640486	0.0009141	-0.4268	62	0.0153884338546	4029	NA	NA	NA	13904	13849/55/0	0.00517	0.06993	0.2753	<DEL>	0.3	0.0052	0.437	NA	NA	NA	TRUE	0.000681280677272055
CNV_chr2_121063483_121066332	waist_combined	2	121063483	0.0003368	0.338	111	0.0275571002979	4028	NA	NA	NA	13894	13422/467/5	0.01745	0.5534	0.02774	<DEL>	0.96	0.0173	1	NA	NA	NA	TRUE	0.00178700377390997
CNV_chr2_121068633_121070589	waist_combined	2	121068633	0.0001486	0.3723	108	0.0268123138034	4028	NA	NA	NA	13894	13425/464/5	0.01702	0.6435	0.02211	<DEL>	0.94	0.0168	0.982	NA	NA	NA	TRUE	0.000980633338345932
CNV_chr5_838554_840772	waist_combined	5	838554	0.0007558	0.216	233	0.0578450844091	4028	0.431707	-0.00319602	5:837479-837596	13894	13342/542/10	0.03097	0.9241	-0.004736	<DUP>	0.49	0.0309	0.166	0.173	NA	0.173	TRUE	0.00577372897332701
CNV_chr5_79078867_79094614	waist_combined	5	79078867	0.0002426	-0.6417	34	0.00844091360477	4028	0.313411	-0.00357431	5:78379450-78379680	13894	13797/95/2	0.00361	0.9254	0.01024	<DUP>	0.81	0.0036	0.902	0.41	0.396	0.403	TRUE	0.00211068416332638
